653,458,31,0,6,0
465,258,32,0,13,1
303,230,19,0,18,0
760,375,35,1,13,1
643,514,39,0,17,0
355,689,25,0,18,1
541,625,19,1,18,1
707,302,56,1,10,1
934,216,61,0,4,0
927,154,23,0,14,0
401,735,46,1,7,1
637,535,30,0,13,0
102,127,38,0,14,0
366,675,20,1,18,1
919,98,25,0,13,1
20,633,42,1,8,1
9,521,29,0,18,1
716,432,36,1,0,1
217,53,22,0,13,0
215,132,35,0,14,1
368,100,18,0,18,1
308,411,60,0,15,1
543,8,33,0,17,1
756,325,30,1,12,0
411,9,34,0,3,1
244,628,28,0,19,1
796,152,32,1,20,0
442,26,22,0,18,0
838,289,23,0,18,1
661,480,28,0,14,1
833,488,34,0,20,1
271,187,51,0,4,1
543,944,33,0,17,0
340,405,46,0,4,1
5,233,33,1,13,1
117,772,20,0,18,1
767,478,70,0,4,1
185,15,53,1,10,0
388,328,31,0,13,1
303,550,19,0,18,0
532,215,20,0,18,1
184,604,37,0,10,1
664,732,30,0,4,0
468,13,28,0,4,1
577,443,36,1,18,1
459,687,22,0,18,0
474,222,51,0,6,1
212,382,49,1,3,1
366,853,20,1,18,1
239,10,39,0,1,1
413,181,55,0,3,1
115,511,31,0,4,1
282,288,22,0,0,1
16,606,21,0,5,1
889,129,24,0,19,1
474,22,51,0,6,1
158,120,50,0,3,0
648,145,43,0,4,1
271,235,51,0,4,0
625,195,27,0,14,1
896,202,28,0,20,0
312,4,48,0,13,0
659,127,31,0,3,1
890,527,32,0,18,1
476,1074,28,0,18,1
553,199,58,0,3,1
748,813,28,0,0,1
451,882,16,0,18,0
507,250,18,1,20,1
59,489,49,0,3,1
269,42,31,1,10,1
44,151,26,0,19,1
85,232,51,0,3,0
798,259,40,1,20,1
864,1016,27,0,14,1
102,66,38,0,14,0
693,649,43,1,7,0
95,509,31,0,0,1
223,409,19,1,18,0
435,546,24,0,4,1
293,79,24,0,20,0
606,729,28,0,14,1
52,235,18,1,18,0
9,479,29,0,18,1
234,287,60,0,15,0
645,91,27,0,14,0
293,393,24,0,20,0
207,597,39,0,11,0
805,38,27,1,13,0
243,93,33,0,3,0
704,1296,51,1,10,1
719,77,37,1,13,0
655,303,50,1,7,1
540,274,28,0,4,1
61,258,36,0,4,1
885,56,30,1,13,0
22,167,25,0,20,0
141,235,49,0,14,0
175,661,26,1,17,1
517,1177,24,0,18,1
393,628,19,0,18,1
521,202,19,0,18,0
430,129,38,0,17,1
542,8,21,0,18,0
389,81,44,1,20,0
654,742,27,1,18,1
479,8,30,0,3,1
615,523,38,0,3,1
837,280,36,1,1,0
930,690,28,1,17,0
297,237,29,1,3,1
815,94,32,0,13,0
655,1479,50,1,7,0
506,248,46,0,14,0
378,186,35,0,18,0
417,178,27,1,13,0
479,196,30,0,3,1
296,153,43,1,0,1
231,476,48,0,10,0
59,710,49,0,3,0
474,615,51,0,6,1
393,399,19,0,18,1
474,258,51,0,6,1
5,425,33,1,13,0
276,854,21,0,18,1
813,901,14,1,18,0
927,228,23,0,14,1
194,134,38,0,0,0
109,425,29,0,13,0
815,484,32,0,13,1
867,1,24,0,17,1
559,515,69,0,6,1
493,763,22,0,4,1
378,300,35,0,18,1
112,937,30,0,16,1
763,518,27,0,17,1
584,161,25,0,18,1
655,284,50,1,7,0
800,127,25,0,14,1
934,186,61,0,4,0
291,246,19,0,18,1
505,71,27,1,13,1
543,730,33,0,17,0
663,741,26,0,13,1
401,198,46,1,7,1
94,923,26,0,18,1
597,825,23,0,13,1
674,181,13,1,18,1
863,990,17,0,18,0
380,114,32,0,4,0
257,1160,17,0,18,1
373,194,24,1,13,1
516,286,53,1,10,1
1,194,24,0,19,1
525,248,27,1,0,1
62,180,27,1,0,1
1,165,24,0,19,1
508,204,27,0,11,0
223,249,19,1,18,0
5,374,33,1,13,0
332,181,20,0,18,1
258,690,19,1,18,1
889,269,24,0,19,1
694,133,60,0,14,1
538,405,31,0,17,0
229,896,29,1,10,1
930,8,28,1,17,0
796,665,32,1,20,0
119,294,32,0,14,0
83,216,40,0,13,1
7,216,57,0,0,1
250,340,29,0,6,1
647,134,40,0,3,1
389,649,44,1,20,1
64,520,32,0,3,1
177,89,20,0,14,1
883,69,49,0,10,0
716,425,36,1,0,1
614,288,54,0,3,0
144,223,53,0,14,1
882,8,35,0,4,1
642,384,18,1,18,1
501,274,22,0,18,0
298,486,44,0,6,0
13,578,47,0,3,0
23,380,30,1,1,1
665,660,25,0,0,1
393,357,19,0,18,0
450,965,35,1,3,1
357,275,26,0,6,1
450,627,35,1,3,0
267,172,23,0,4,1
721,879,24,1,5,1
486,950,39,0,3,1
901,211,38,0,6,1
393,97,19,0,18,1
592,512,18,0,18,1
595,762,25,0,14,1
707,614,56,1,10,0
666,640,44,0,0,1
385,482,36,0,20,0
452,498,35,0,0,1
388,276,31,0,13,0
716,474,36,1,0,1
157,685,57,0,4,0
532,636,20,0,18,1
528,173,18,0,18,1
145,109,31,0,5,1
533,169,43,0,10,1
308,122,60,0,15,1
838,50,23,0,18,1
331,304,33,0,5,1
268,449,24,0,4,0
291,790,19,0,18,1
694,203,60,0,14,1
468,70,28,0,4,0
405,303,22,1,7,0
345,70,28,1,10,1
265,125,26,0,6,1
907,340,25,1,13,0
474,659,51,0,6,1
314,869,20,1,18,1
119,455,32,0,14,1
605,338,33,0,4,0
622,240,25,0,14,0
286,1035,27,0,18,0
276,7,21,0,18,1
655,1418,50,1,7,1
118,475,21,0,0,1
689,13,25,0,13,0
174,65,30,1,0,1
394,121,25,0,0,1
863,300,17,0,18,1
337,471,37,0,17,1
381,419,33,0,1,1
13,165,47,0,3,0
340,423,46,0,4,1
643,1101,39,0,17,0
613,530,37,1,11,1
537,96,36,0,4,0
643,118,39,0,17,0
916,157,27,0,4,1
354,52,29,1,10,1
46,327,27,1,11,1
828,52,28,0,10,0
908,98,44,1,10,1
102,930,38,0,14,0
642,402,18,1,18,1
758,14,27,0,18,1
110,451,19,0,18,1
218,517,37,0,0,0
90,553,60,0,3,0
168,472,48,0,13,0
735,237,29,1,7,1
303,1047,19,0,18,0
429,1071,27,0,18,0
716,515,36,1,0,1
579,514,32,0,3,0
305,190,23,0,14,0
53,24,26,0,14,0
190,326,30,0,0,1
425,550,19,0,18,1
397,288,17,0,18,1
450,1039,35,1,3,1
862,431,25,0,6,1
314,1520,20,1,18,0
829,10,48,0,20,0
497,1047,20,0,18,0
932,570,58,0,3,1
655,19,50,1,7,0
618,924,15,1,18,1
219,546,32,0,14,1
576,56,48,0,6,0
16,71,21,0,5,1
484,778,27,0,18,1
280,670,30,1,10,0
378,58,35,0,18,1
299,965,29,0,2,1
761,476,17,0,18,0
372,547,25,1,18,1
151,1113,38,1,0,1
345,81,28,1,10,1
592,762,18,0,18,1
286,22,27,0,18,1
567,475,24,0,5,1
807,416,41,1,7,0
23,174,30,1,1,1
537,510,36,0,4,0
73,188,24,0,18,1
768,966,29,0,0,1
588,1053,18,1,18,0
79,301,39,1,0,0
937,137,48,0,3,0
455,582,48,0,0,0
41,276,33,0,4,0
699,333,44,0,13,0
294,413,34,0,19,0
430,273,38,0,17,1
6,531,42,0,6,1
271,659,51,0,4,0
714,410,26,0,4,0
586,427,20,0,18,0
254,135,44,0,3,1
303,15,19,0,18,0
232,921,45,0,17,1
236,98,44,1,20,1
235,483,37,0,3,1
831,316,21,0,13,0
404,323,29,1,14,0
442,27,22,0,18,0
621,180,17,0,18,1
339,9,35,0,9,1
320,760,19,0,18,0
136,303,51,0,13,1
542,150,21,0,18,0
114,1104,27,0,14,1
723,258,26,0,6,1
318,404,65,0,15,0
291,232,19,0,18,1
790,762,27,0,19,1
840,513,39,0,1,1
918,179,40,0,17,0
255,569,23,0,5,0
500,294,28,0,0,0
450,229,35,1,3,1
162,1011,25,0,1,1
790,56,27,0,19,1
600,1407,34,0,14,0
883,1222,49,0,10,1
851,979,18,0,13,0
312,189,48,0,13,1
736,1089,48,1,20,0
654,558,27,1,18,0
371,663,36,0,4,1
634,1162,39,0,4,0
37,183,23,0,18,1
23,386,30,1,1,1
13,420,47,0,3,1
621,122,17,0,18,0
405,427,22,1,7,1
233,129,38,0,4,0
269,318,31,1,10,1
293,85,24,0,20,0
141,880,49,0,14,0
279,363,33,0,14,1
618,127,15,1,18,1
345,317,28,1,10,1
660,89,26,0,18,0
87,566,47,0,0,1
586,1407,20,0,18,0
291,563,19,0,18,0
589,678,21,0,9,1
670,969,30,0,19,0
373,12,24,1,13,1
645,558,27,0,14,1
303,650,19,0,18,1
504,969,40,1,20,1
650,72,42,0,4,0
588,79,18,1,18,1
452,648,35,0,0,1
707,1061,56,1,10,0
796,794,32,1,20,1
808,748,45,0,16,1
552,323,45,0,13,0
734,478,25,1,13,1
880,770,13,0,18,1
116,145,40,0,7,0
406,831,52,0,3,0
748,498,28,0,0,1
454,270,57,0,13,1
655,1650,50,1,7,1
430,237,38,0,17,1
320,100,19,0,18,1
828,887,28,0,10,1
58,42,27,0,14,1
77,268,30,0,19,1
691,205,34,0,3,1
437,606,27,1,13,1
450,477,35,1,3,1
293,660,24,0,20,0
291,562,19,0,18,1
514,152,27,0,14,1
840,607,39,0,1,1
711,99,22,1,18,0
489,347,55,0,13,1
45,1059,29,0,14,0
665,405,25,0,0,0
848,481,46,0,4,0
796,29,32,1,20,0
