244,51,2,880606923
291,118,2,874833878
38,95,5,892430094
225,193,4,879539727
246,201,5,884921594
178,332,3,882823437
246,416,3,884923047
145,275,2,885557505
264,200,5,886122352
41,265,3,890687042
213,273,5,878870987
7,455,4,891353086
200,673,5,884128554
92,1079,3,886443455
207,476,2,884386343
97,228,5,884238860
301,790,4,882078621
200,318,5,884128458
299,1018,3,889502324
130,1014,3,876250718
201,695,1,884140115
95,135,3,879197562
296,508,5,884196584
54,595,3,880937813
133,751,3,890588547
308,649,4,887739292
61,678,3,892302309
268,62,3,875310824
279,1181,4,875314001
64,392,3,889737542
216,228,3,880245642
92,587,3,875660408
181,938,1,878961586
293,770,3,888906655
96,156,4,884402860
72,1110,3,880037334
70,431,3,884150257
221,475,4,875244204
290,50,5,880473582
256,849,2,882164603
94,184,2,891720862
268,824,2,876518557
109,8,3,880572642
234,448,3,892335501
128,603,5,879966839
217,597,4,889070087
13,901,1,883670672
226,242,5,883888671
62,1016,4,879373008
56,71,4,892683275
150,293,4,878746946
95,1217,3,880572658
109,127,2,880563471
92,794,3,875654798
22,128,5,878887983
308,295,3,887741461
244,707,4,880606243
263,96,4,891298336
49,302,4,888065432
205,304,3,888284313
295,39,4,879518279
181,1060,1,878962675
125,80,4,892838865
235,230,4,889655162
90,258,3,891382121
167,659,4,892738277
44,443,5,878348289
299,387,2,889502756
239,272,5,889181247
178,385,4,882826982
188,143,5,875072674
207,845,3,881681663
47,324,3,879439078
125,190,5,892836309
305,512,4,886323525
275,186,3,880314383
72,568,4,880037203
7,543,3,891351772
161,318,3,891170824
226,56,4,883889102
279,741,5,875296891
85,642,4,882995615
184,522,3,889908462
59,485,2,888204466
185,216,4,883526268
297,275,5,874954260
11,425,4,891904300
153,174,1,881371140
276,474,5,889174904
297,233,2,875239914
256,472,4,882152471
7,171,3,891351287
308,516,4,887736743
207,65,3,878104594
277,257,3,879543487
25,257,4,885853415
262,617,3,879793715
21,948,1,874951054
268,386,2,875743978
234,147,3,892335372
